SEÇÃO,DIVISÃO,GRUPO,CLASSE,SUBCLASSE,DENOMINAÇÃO
,,,65.35-8,,"Sociedades de crédito, financiamento e investimento"
,,,,,
,,65.4,,,ARRENDAMENTO MERCANTIL
,,,,,
,,,65.40-4,,Arrendamento mercantil
,,,,,
,,65.5,,,OUTRAS ATIVIDADES DE CONCESSÃO DE CRÉDITO
,,,,,
,,,65.51-0,,Agências de desenvolvimento
,,,65.59-5,,Outras atividades de concessão de crédito
,,,,,
,,65.9,,,"OUTRAS ATIVIDADES DE INTERMEDIAÇÃO FINANCEIRA, NÃO ESPECIFICADAS ANTERIORMENTE"
,,,,,
,,,65.91-9,,Fundos mútuos de investimento
,,,65.92-7,,Sociedades de capitalização
,,,65.99-4,,"Outras atividades de intermediação financeira, não especificadas anteriormente"
,,,,,
,66,,,,SEGUROS E PREVIDÊNCIA PRIVADA
,,,,,
,,66.1,,,SEGUROS DE VIDA E NÃO-VIDA
,,,,,
,,,66.11-7,,Seguros de vida
,,,66.12-5,,Seguros não-vida
,,,66.13-3,,Resseguros
,,,,,
,,66.2,,,PREVIDÊNCIA PRIVADA
,,,,,
,,,66.21-4,,Previdência privada fechada
,,,66.22-2,,Previdência privada aberta
,,,,,
,,66.3,,,PLANOS DE SAÚDE
,,,,,
,,,66.30-3,,Planos de saúde
,,,,,
,67,,,,ATIVIDADES AUXILIARES DA INTERMEDIAÇÃO FINANCEIRA
,,,,,
,,67.1,,,"ATIVIDADES AUXILIARES DA INTERMEDIAÇÃO FINANCEIRA, EXCLUSIVE SEGUROS E PREVIDÊNCIA PRIVADA"
,,,,,
,,,67.11-3,,Administração de mercados bursáteis
,,,67.12-1,,Atividades de intermediários em transações de títulos e valores mobiliários
,,,67.19-9,,"Outras atividades auxiliares da intermediação financeira, não especificadas anteriormente"
,,,,,
,,67.2,,,ATIVIDADES AUXILIARES DOS SEGUROS E DA PREVIDÊNCIA PRIVADA
,,,,,
,,,67.20-2,,Atividades auxiliares dos seguros e da previdência privada
K,,,,,"ATIVIDADES IMOBILIÁRIAS, ALUGUÉIS E SERVIÇOS PRESTADOS ÀS EMPRESAS"
,,,,,
,70,,,,ATIVIDADES IMOBILIÁRIAS
,,,,,
,,70.1,,,INCORPORAÇÃO E COMPRA E VENDA DE IMÓVEIS
,,,,,
,,,70.10-6,,Incorporação e compra e venda de imóveis
,,,,,
,,70.2,,,ALUGUEL DE IMÓVEIS
,,,,,
,,,70.20-3,,Aluguel de imóveis
,,,,,
,,70.3,,,ATIVIDADES IMOBILIÁRIAS POR CONTA DE TERCEIROS
,,,,,
,,,70.31-9,,Corretagem e avaliação de imóveis
,,,70.32-7,,Administração de imóveis por conta de terceiros
,,,,,
,,70.4,,,CONDOMÍNIOS PREDIAIS
,,,,,
,,,70.40-8,,Condomínios prediais
,,,,,
,71,,,,"ALUGUEL DE VEÍCULOS, MÁQUINAS E EQUIPAMENTOS SEM CONDUTORES OU OPERADORES E DE OBJETOS PESSOAIS E DOMÉSTICOS"
,,,,,
,,71.1,,,ALUGUEL DE AUTOMÓVEIS
,,,,,
,,,71.10-2,,Aluguel de automóveis
,,,,,
,,71.2,,,ALUGUEL DE OUTROS MEIOS DE TRANSPORTE
,,,,,
,,,71.21-8,,Aluguel de outros meios de transporte terrestre
,,,71.22-6,,Aluguel de embarcações
,,,71.23-4,,Aluguel de aeronaves
,,,,,
,,71.3,,,ALUGUEL DE MÁQUINAS E EQUIPAMENTOS
,,,,,
,,,71.31-5,,Aluguel de máquinas e equipamentos agrícolas
,,,71.32-3,,Aluguel de máquinas e equipamentos para construção e engenharia civil
,,,71.33-1,,Aluguel de máquinas e equipamentos para escritórios
,,,71.39-0,,"Aluguel de máquinas e equipamentos de outros tipos, não especificados anteriormente"
,,,,,
,,71.4,,,ALUGUEL DE OBJETOS PESSOAIS E DOMÉSTICOS
,,,,,
,,,71.40-4,,Aluguel de objetos pessoais e domésticos
,,,,,
,72,,,,ATIVIDADES DE INFORMÁTICA E CONEXAS
,,,,,
,,72.1,,,CONSULTORIA EM SISTEMAS DE INFORMÁTICA
,,,,,
,,,72.10-9,,Consultoria em sistemas de informática
,,,,,
,,72.2,,,DESENVOLVIMENTO DE PROGRAMAS DE INFORMÁTICA
,,,,,
,,,72.20-6,,Desenvolvimento de programas de informática
,,,,,
,,72.3,,,PROCESSAMENTO DE DADOS
,,,,,
,,,72.30-3,,Processamento de dados
,,,,,
,,72.4,,,ATIVIDADES DE BANCO DE DADOS
,,,,,
,,,72.40-0,,Atividades de banco de dados
,,,,,
,,72.5,,,MANUTENÇÃO E REPARAÇÃO DE MÁQUINAS DE ESCRITÓRIO E DE INFORMÁTICA
,,,,,
,,,72.50-8,,Manutenção e reparação de máquinas de escritório e de informática
,,,,,
,,72.9,,,"OUTRAS ATIVIDADES DE INFORMÁTICA, NÃO ESPECIFICADAS ANTERIORMENTE"
,,,,,
,,,72.90-7,,"Outras atividades de informática, não especificadas anteriormente"
,,,,,
,73,,,,PESQUISA E DESENVOLVIMENTO
,,,,,
,,73.1,,,PESQUISA E DESENVOLVIMENTO DAS CIÊNCIAS FÍSICAS E NATURAIS
,,,,,
,,,73.10-5,,Pesquisa e desenvolvimento das ciências físicas e naturais
,,,,,
,,73.2,,,PESQUISA E DESENVOLVIMENTO DAS CIÊNCIAS SOCIAIS E HUMANAS
,,,,,
,,,73.20-2,,Pesquisa e desenvolvimento das ciências sociais e humanas
,,,,,
,74,,,,SERVIÇOS PRESTADOS PRINCIPALMENTE ÀS EMPRESAS
,,,,,
,,74.1,,,"ATIVIDADES JURÍDICAS, CONTÁBEIS E DE ASSESSORIA EMPRESARIAL"
,,,,,
,,,74.11-0,,Atividades jurídicas
,,,74.12-8,,Atividades de contabilidade e auditoria
,,,74.13-6,,Pesquisas de mercado e de opinião pública
,,,74.14-4,,Gestão de participações societárias (holdings)
,,,74.15-2,,Sedes de empresas e unidades administrativas locais
,,,74.16-0,,Atividades de assessoria em gestão empresarial
,,,,,
,,74.2,,,SERVIÇOS DE ARQUITETURA E ENGENHARIA E DE ASSESSORAMENTO TÉCNICO ESPECIALIZADO
,,,,,
,,,74.20-9,,Serviços de arquitetura e engenharia e de assessoramento técnico especializado
,,,,,
,,74.3,,,ENSAIOS DE MATERIAIS E DE PRODUTOS; ANÁLISE DE QUALIDADE
,,,,,
,,,74.30-6,,Ensaios de materiais e de produtos; análise de qualidade
,,,,,
,,74.4,,,PUBLICIDADE
,,,,,
,,,74.40-3,,Publicidade
,,,,,
,,74.5,,,"SELEÇÃO, AGENCIAMENTO E LOCAÇÃO DE MÃO-DE-OBRA "
,,,,,
,,,74.50-0,,"Seleção, agenciamento e locação de mão-de-obra "
,,,,,
,,74.6,,,"ATIVIDADES DE INVESTIGAÇÃO, VIGILÂNCIA E SEGURANÇA"
,,,,,
,,,74.60-8,,"Atividades de investigação, vigilância e segurança"
,,,,,
,,74.7,,,ATIVIDADES DE LIMPEZA EM PRÉDIOS E DOMICÍLIOS
,,,,,
,,,74.70-5,,Atividades de limpeza em prédios e domicílios
,,74.9,,,OUTRAS ATIVIDADES DE SERVIÇOS PRESTADOS PRINCIPALMENTE ÀS EMPRESAS
,,,,,
,,,74.91-8,,Atividades fotográficas
,,,74.92-6,,"Atividades de envasamento e empacotamento, por conta de terceiros"
,,,74.99-3,,"Outras atividades de serviços prestados principalmente às empresas, não especificadas anteriormente"
,,,,,
L,,,,,"ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL"
,,,,,
,75,,,,"ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL"
,,,,,
,,75.1,,,ADMINISTRAÇÃO DO ESTADO E DA POLÍTICA ECONÔMICA E SOCIAL
,,,,,
,,,75.11-6,,Administração pública em geral
,,,75.12-4,,Regulação das atividades sociais e culturais
,,,75.13-2,,Regulação das atividades econômicas
,,,75.14-0,,Atividades de apoio à administração pública
,,,,,
,,75.2,,,SERVIÇOS COLETIVOS PRESTADOS PELA ADMINISTRAÇÃO PÚBLICA
,,,,,
,,,75.21-3,,Relações exteriores
,,,75.22-1,,Defesa
,,,75.23-0,,Justiça
,,,75.24-8,,Segurança e ordem pública
,,,75.25-6,,Defesa Civil
,,,,,
,,75.3,,,SEGURIDADE SOCIAL
,,,,,
,,,75.30-2,,Seguridade social
,,,,,
M,,,,,EDUCAÇÃO
,,,,,
,80,,,,EDUCAÇÃO
,,,,,
,,80.1,,,EDUCAÇÃO PRÉ-ESCOLAR E FUNDAMENTAL
,,,,,
,,,80.11-0,,Educação pré-escolar
,,,80.12-8,,Educação fundamental
,,,,,
,,80.2,,,"EDUCAÇÃO MÉDIA DE FORMAÇÃO GERAL, PROFISSIONALIZANTE OU TÉCNICA"
,,,,,
,,,80.21-7,,Educação média de formação geral
,,,80.22-5,,Educação média de formação técnica e profissional
,,,,,
,,80.3,,,EDUCAÇÃO SUPERIOR
,,,,,
,,,80.30-6,,Educação superior
,,,,,
,,80.9,,,FORMAÇÃO PERMANENTE E OUTRAS ATIVIDADES DE ENSINO
,,,,,
,,,80.91-8,,Ensino em auto-escolas e cursos de pilotagem
,,,80.92-6,,Educação supletiva
,,,80.93-4,,Educação continuada ou permanente e aprendizagem profissional
,,,80.94-2,,Ensino à distância
,,,80.95-0,,Educação especial
,,,,,
N,,,,,SAÚDE E SERVIÇOS SOCIAIS
,,,,,
,85,,,,SAÚDE E SERVIÇOS SOCIAIS
,,,,,
,,85.1,,,ATIVIDADES DE ATENÇÃO À SAÚDE
,,,,,
,,,85.11-1,,Atividades de atendimento hospitalar
,,,85.12-0,,Atividades de atendimento a urgências e emergências
,,,85.13-8,,Atividades de atenção ambulatorial
,,,85.14-6,,Atividades de serviços de complementação diagnóstica ou terapêutica
,,,85.15-4,,Atividades de outros profissionais da área de saúde
,,,85.16-2,,Outras atividades relacionadas com a atenção à saúde
,,,,,
, ,85.2,,,SERVIÇOS VETERINÁRIOS
,,,,,
,,,85.20-0,,Serviços veterinários
,,,,,
,,85.3,,,SERVIÇOS SOCIAIS
,,,,,
,,,85.31-6,,Serviços sociais com alojamento
,,,85.32-4,,Serviços sociais sem alojamento
,,,,,
O,,,,,"OUTROS SERVIÇOS COLETIVOS, SOCIAIS E PESSOAIS"
,,,,,
,90,,,,LIMPEZA URBANA E ESGOTO; E ATIVIDADES CONEXAS
,,,,,
,,90.0,,,LIMPEZA URBANA E ESGOTO; E ATIVIDADES CONEXAS
,,,,,
,,,90.00-0,,Limpeza urbana e esgoto; e atividades conexas
,,,,,
,91,,,,ATIVIDADES ASSOCIATIVAS
,,,,,
,,91.1,,,"ATIVIDADES DE ORGANIZAÇÕES EMPRESARIAIS, PATRONAIS E PROFISSIONAIS"
,,,,,
,,,91.11-1,,Atividades de organizações empresariais e patronais
,,,91.12-0,,Atividades de organizações profissionais
,,,,,
,,91.2,,,ATIVIDADES DE ORGANIZAÇÕES SINDICAIS
,,,,,
,,,91.20-0,,Atividades de organizações sindicais
,,,,,
,,91.9,,,OUTRAS ATIVIDADES ASSOCIATIVAS
,,,,,
,,,91.91-0,,Atividades de organizações religiosas
,,,91.92-8,,Atividades de organizações políticas
,,,91.99-5,,"Outras atividades associativas, não especificadas anteriormente"
,,,,,
,92,,,,"ATIVIDADES RECREATIVAS, CULTURAIS E DESPORTIVAS"
,,,,,
,,92.1,,,ATIVIDADES CINEMATOGRÁFICAS E DE VÍDEO
,,,,,
,,,92.11-8,,Produção de filmes cinematográficos e fitas de vídeo
,,,92.12-6,,Distribuição de filmes e de vídeos
,,,92.13-4,,Projeção de filmes e de vídeos
,,,,,
,,92.2,,,ATIVIDADES DE RÁDIO E DE TELEVISÃO
,,,,,
,,,92.21-5,,Atividades de rádio
,,,92.22-3,,Atividades de televisão
,,,,,
,,92.3,,,OUTRAS ATIVIDADES ARTÍSTICAS E DE ESPETÁCULOS
,,,,,
,,,92.31-2,,"Atividades de teatro, música e outras atividades artísticas e literárias"
,,,92.32-0,,Gestão de salas de espetáculos
,,,92.39-8,,"Outras atividades de espetáculos, não especificadas anteriormente"
,,,,,
,,92.4,,,ATIVIDADES DE AGÊNCIAS DE NOTÍCIAS
,,,,,
,,,92.40-1,,Atividades de agências de notícias
,,,,,
,,92.5,,,"ATIVIDADES DE BIBLIOTECAS, ARQUIVOS, MUSEUS E OUTRAS ATIVIDADES CULTURAIS"
,,,,,
,,,92.51-7,,Atividades de bibliotecas e arquivos
,,,92.52-5,,Atividades de museus e conservação do patrimônio histórico
,,,92.53-3,,"Atividades de jardins botânicos, zoológicos, parques nacionais e reservas ecológicas"
,,,,,
,,92.6,,,ATIVIDADES DESPORTIVAS E OUTRAS RELACIONADAS AO LAZER
,,,,,
,,,92.61-4,,Atividades desportivas
,,,92.62-2,,Outras atividades relacionadas ao lazer
,,,,,
,93,,,,SERVIÇOS PESSOAIS
,,,,,
,,93.0,,,SERVIÇOS PESSOAIS
,,,,,
,,,93.01-7,,Lavanderias e tinturarias
,,,93.02-5,,Cabeleireiros e outros tratamentos de beleza
,,,93.03-3,,Atividades funerárias e conexas
,,,93.04-1,,Atividades de manutenção do físico corporal
,,,93.09-2,,"Outras atividades de serviços pessoais, não especificadas anteriormente"
,,,,,
P,,,,,SERVIÇOS DOMÉSTICOS
,,,,,
,95,,,,SERVIÇOS DOMÉSTICOS
,,,,,
,,95.0,,,SERVIÇOS DOMÉSTICOS
,,,,,
,,,95.00-1,,Serviços domésticos
,,,,,
Q,,,,,ORGANISMOS INTERNACIONAIS E OUTRAS INSTITUIÇÕES EXTRATERRITORIAIS
,,,,,
,99,,,,ORGANISMOS INTERNACIONAIS E OUTRAS INSTITUIÇÕES EXTRATERRITORIAIS
,,,,,
,,99.0,,,ORGANISMOS INTERNACIONAIS E OUTRAS INSTITUIÇÕES EXTRATERRITORIAIS
,,,,,
,,,99.00-7,,Organismos internacionais e outras instituições extraterritoriais
